x,sex,indicator,l,m,s,source
21.00000000,FEMALE,WEIGHT_FOR_AGE,-0.28150000,10.85340000,0.12335000,WHO2006
21.00000000,MALE,BMI_FOR_AGE,-0.60140000,15.90390000,0.07818000,WHO2006
21.00000000,FEMALE,BMI_FOR_AGE,-0.55370000,15.52780000,0.08594000,WHO2006
22.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,86.04770000,0.03410000,WHO2006
22.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,84.60400000,0.03688000,WHO2006
22.00000000,MALE,WEIGHT_FOR_AGE,-0.00280000,11.75040000,0.11314000,WHO2006
22.00000000,FEMALE,WEIGHT_FOR_AGE,-0.28620000,11.06080000,0.12350000,WHO2006
22.00000000,MALE,BMI_FOR_AGE,-0.61740000,15.84120000,0.07802000,WHO2006
22.00000000,FEMALE,BMI_FOR_AGE,-0.56950000,15.47870000,0.08577000,WHO2006
23.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,86.94100000,0.03445000,WHO2006
23.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,85.52020000,0.03711000,WHO2006
23.00000000,MALE,WEIGHT_FOR_AGE,-0.00830000,11.95140000,0.11369000,WHO2006
23.00000000,FEMALE,WEIGHT_FOR_AGE,-0.29030000,11.26880000,0.12369000,WHO2006
23.00000000,MALE,BMI_FOR_AGE,-0.63280000,15.78520000,0.07786000,WHO2006
23.00000000,FEMALE,BMI_FOR_AGE,-0.58460000,15.43800000,0.08560000,WHO2006
24.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,87.81610000,0.03479000,WHO2006
24.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,86.41530000,0.03734000,WHO2006
24.00000000,MALE,WEIGHT_FOR_AGE,-0.01370000,12.15150000,0.11426000,WHO2006
24.00000000,FEMALE,WEIGHT_FOR_AGE,-0.29410000,11.47750000,0.12390000,WHO2006
24.00000000,MALE,BMI_FOR_AGE,-0.64730000,15.73560000,0.07771000,WHO2006
24.00000000,FEMALE,BMI_FOR_AGE,-0.59890000,15.40520000,0.08545000,WHO2006
24.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,87.11610000,0.03507000,WHO2006
24.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,85.71530000,0.03764000,WHO2006
24.00000000,MALE,WEIGHT_FOR_AGE,-0.01370000,12.15150000,0.11426000,WHO2006
24.00000000,FEMALE,WEIGHT_FOR_AGE,-0.29410000,11.47750000,0.12390000,WHO2006
24.00000000,MALE,BMI_FOR_AGE,-0.61870000,16.01890000,0.07785000,WHO2006
24.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.68810000,0.08454000,WHO2006
25.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,87.97200000,0.03542000,WHO2006
25.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,86.59040000,0.03786000,WHO2006
25.00000000,MALE,WEIGHT_FOR_AGE,-0.01890000,12.35020000,0.11485000,WHO2006
25.00000000,FEMALE,WEIGHT_FOR_AGE,-0.29750000,11.68640000,0.12414000,WHO2006
25.00000000,MALE,BMI_FOR_AGE,-0.58400000,15.98000000,0.07792000,WHO2006
25.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.65900000,0.08452000,WHO2006
26.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,88.80650000,0.03576000,WHO2006
26.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,87.44620000,0.03808000,WHO2006
26.00000000,MALE,WEIGHT_FOR_AGE,-0.02400000,12.54660000,0.11544000,WHO2006
26.00000000,FEMALE,WEIGHT_FOR_AGE,-0.30050000,11.89470000,0.12441000,WHO2006
26.00000000,MALE,BMI_FOR_AGE,-0.54970000,15.94140000,0.07800000,WHO2006
26.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.63080000,0.08449000,WHO2006
27.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,89.61970000,0.03610000,WHO2006
27.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,88.28300000,0.03830000,WHO2006
27.00000000,MALE,WEIGHT_FOR_AGE,-0.02890000,12.74010000,0.11604000,WHO2006
27.00000000,FEMALE,WEIGHT_FOR_AGE,-0.30320000,12.10150000,0.12472000,WHO2006
27.00000000,MALE,BMI_FOR_AGE,-0.51660000,15.90360000,0.07808000,WHO2006
27.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.60370000,0.08446000,WHO2006
28.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,90.41200000,0.03642000,WHO2006
28.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,89.10040000,0.03851000,WHO2006
28.00000000,MALE,WEIGHT_FOR_AGE,-0.03370000,12.93030000,0.11664000,WHO2006
28.00000000,FEMALE,WEIGHT_FOR_AGE,-0.30570000,12.30590000,0.12506000,WHO2006
28.00000000,MALE,BMI_FOR_AGE,-0.48500000,15.86670000,0.07818000,WHO2006
28.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.57770000,0.08444000,WHO2006
29.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,91.18280000,0.03674000,WHO2006
29.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,89.89910000,0.03872000,WHO2006
29.00000000,MALE,WEIGHT_FOR_AGE,-0.03850000,13.11690000,0.11723000,WHO2006
29.00000000,FEMALE,WEIGHT_FOR_AGE,-0.30800000,12.50730000,0.12545000,WHO2006
29.00000000,MALE,BMI_FOR_AGE,-0.45520000,15.83060000,0.07829000,WHO2006
29.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.55230000,0.08443000,WHO2006
30.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,91.93270000,0.03704000,WHO2006
30.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,90.67970000,0.03893000,WHO2006
30.00000000,MALE,WEIGHT_FOR_AGE,-0.04310000,13.30000000,0.11781000,WHO2006
30.00000000,FEMALE,WEIGHT_FOR_AGE,-0.31010000,12.70550000,0.12587000,WHO2006
30.00000000,MALE,BMI_FOR_AGE,-0.42740000,15.79530000,0.07841000,WHO2006
30.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.52760000,0.08444000,WHO2006
31.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,92.66310000,0.03733000,WHO2006
31.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,91.44300000,0.03913000,WHO2006
31.00000000,MALE,WEIGHT_FOR_AGE,-0.04760000,13.47980000,0.11839000,WHO2006
31.00000000,FEMALE,WEIGHT_FOR_AGE,-0.31200000,12.90060000,0.12633000,WHO2006
31.00000000,MALE,BMI_FOR_AGE,-0.40160000,15.76060000,0.07854000,WHO2006
31.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.50340000,0.08448000,WHO2006
32.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,93.37530000,0.03761000,WHO2006
32.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,92.19060000,0.03933000,WHO2006
32.00000000,MALE,WEIGHT_FOR_AGE,-0.05200000,13.65670000,0.11896000,WHO2006
32.00000000,FEMALE,WEIGHT_FOR_AGE,-0.31380000,13.09300000,0.12683000,WHO2006
32.00000000,MALE,BMI_FOR_AGE,-0.37820000,15.72670000,0.07867000,WHO2006
32.00000000,FEMALE,BMI_FOR_AGE,-0.56840000,15.47980000,0.08455000,WHO2006
